f1,v1,f2,v2,f3,v3,f4,v4,a1,a2,a3
169,0,167,0,123,0,188,0,15,93,-35
168,0,166,0,122,0,188,0,14,93,-35
167,0,167,0,121,0,186,0,14,94,-35
168,0,166,0,120,0,185,-1,14,94,-35
168,0,165,0,119,0,183,-1,14,93,-35
8,0,164,0,114,-1,177,-1,15,92,-33
168,0,161,-1,113,-1,172,-2,15,91,-33
166,0,159,-1,111,-1,165,-3,15,91,-33
164,0,157,-1,109,-1,156,-3,15,92,-32
161,-1,155,-1,107,-1,149,-5,15,93,-32
161,-1,155,-1,107,-1,149,-5,15,93,-32
127,-6,117,-7,60,-8,76,-12,16,95,-30
113,-8,106,-7,52,-8,60,-13,16,97,-31
99,-9,93,-8,45,-7,43,-13,16,97,-31
